,wavelength,intensity
296,229.6,5643.424
297,229.7,5778.0
298,229.8,5912.63
299,229.9,6049.197
300,230.0,6190.0
301,230.1,6337.938
302,230.2,6498.307
303,230.3,6677.0
304,230.4,6880.543
305,230.5,7117.983
306,230.6,7399.0
307,230.7,7733.669
308,230.8,8133.65
309,230.9,8611.0
310,231.0,9178.227
311,231.1,9849.641
312,231.2,10640.0
313,231.3,11563.658
314,231.4,12633.335
315,231.5,13861.344
316,231.6,15260.0
317,231.7,16841.135
318,231.8,18614.658
319,231.9,20590.0
320,232.0,22775.062
321,232.1,25171.64
322,232.2,27780.0
323,232.3,30598.986
324,232.4,33621.746
325,232.5,36840.0
326,232.6,40243.066
327,232.7,43810.637
328,232.8,47520.0
329,232.9,51346.527
330,233.0,55257.928
331,233.1,59220.0
332,233.2,63197.122
333,233.3,67148.019
334,233.4,71030.0
335,233.5,74799.984
336,233.6,78413.331
337,233.7,81825.013
338,233.8,84990.0
339,233.9,87866.06
340,234.0,90422.144
341,234.1,92630.0
342,234.2,94465.018
343,234.3,95917.153
344,234.4,96980.0
345,234.5,97652.015
346,234.6,97951.096
347,234.7,97900.0
348,234.8,97525.439
349,234.9,96869.945
350,235.0,95980.0
351,235.1,94904.375
352,235.2,93700.977
353,235.3,92430.0
354,235.4,91151.875
355,235.5,89927.997
356,235.6,88820.0
357,235.7,87888.123
358,235.8,87187.033
359,235.9,86770.0
360,236.0,86687.853
361,236.1,86981.648
362,236.2,87690.0
363,236.3,88847.908
364,236.4,90475.921
365,236.5,92590.973
366,236.6,95210.0
367,236.7,98344.0
368,236.8,101980.227
369,236.9,106100.0
370,237.0,110678.201
371,237.1,115663.968
372,237.2,121000.0
373,237.3,126627.64
374,237.4,132482.791
375,237.5,138500.0
376,237.6,144607.537
377,237.7,150708.571
378,237.8,156700.0
379,237.9,162486.659
380,238.0,168005.146
381,238.1,173200.0
382,238.2,178016.199
383,238.3,182400.475
384,238.4,186300.0
385,238.5,189672.977
386,238.6,192521.731
387,238.7,194859.62
388,238.8,196700.0
389,238.9,198057.352
390,239.0,198950.652
391,239.1,199400.0
392,239.2,199426.04
393,239.3,199051.587
394,239.4,198300.0
395,239.5,197194.045
396,239.6,195754.112
397,239.7,194000.0
398,239.8,191945.929
399,239.9,189583.815
400,240.0,186900.0
401,240.1,183881.499
402,240.2,180518.033
403,240.3,176800.0
404,240.4,172720.667
405,240.5,168284.792
406,240.6,163500.0
407,240.7,158376.572
408,240.8,152935.393
409,240.9,147200.0
410,241.0,141198.971
411,241.1,134981.044
412,241.2,128600.0
413,241.3,122110.863
414,241.4,115573.646
415,241.5,109049.605
416,241.6,102600.0
417,241.7,96284.222
418,241.8,90154.201
419,241.9,84260.0
420,242.0,78648.98
421,242.1,73357.696
422,242.2,68420.0
423,242.3,63864.301
424,242.4,59697.236
425,242.5,55920.0
426,242.6,52530.854
427,242.7,49516.324
428,242.8,46860.0
429,242.9,44543.023
430,243.0,42536.729
431,243.1,40810.0
432,243.2,39331.497
433,243.3,38068.984
434,243.4,36990.0
435,243.5,36063.802
436,243.6,35266.511
437,243.7,34575.965
438,243.8,33970.0
439,243.9,33428.381
440,244.0,32938.581
441,244.1,32490.0
